Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,RemoveOutliers,Affinity,Jit,Platform,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,RetainVm,Server,Clock,EngineFactory,Toolchain,InvocationCount,IterationTime,LaunchCount,RunStrategy,TargetCount,UnrollFactor,WarmupCount,Mean,Error,StdDev,Min,Max,Median,Rank,Gen 0,Allocated
Dictionary_10from20,Clr,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,783.9 ns,14.00 ns,13.09 ns,755.9 ns,807.6 ns,783.6 ns,1,0.3030,992 B
List_10from20,Clr,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,941.9 ns,11.18 ns,10.46 ns,923.0 ns,962.0 ns,944.8 ns,3,0.6545,2096 B
Dictionary_10from20,Core,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,794.2 ns,16.98 ns,23.80 ns,761.2 ns,852.5 ns,794.0 ns,1,0.3030,989 B
List_10from20,Core,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,923.4 ns,19.62 ns,28.76 ns,883.5 ns,997.0 ns,920.8 ns,2,0.6535,2090 B
