Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,RemoveOutliers,Affinity,Jit,Platform,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,RetainVm,Server,Clock,EngineFactory,Toolchain,InvocationCount,IterationTime,LaunchCount,RunStrategy,TargetCount,UnrollFactor,WarmupCount,Mean,Error,StdDev,Min,Max,Median,Rank,Gen 0,Allocated
StringBuilder8000,Clr,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,728.634 us,9.2615 us,8.6632 us,715.071 us,740.372 us,727.286 us,5,110.2865,369.53 kB
StringBuilder64,Clr,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,5.960 us,0.0736 us,0.0689 us,5.868 us,6.090 us,5.972 us,1,0.9923,3.33 kB
CharBuffer8000,Clr,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,788.176 us,3.5420 us,3.3132 us,781.797 us,793.403 us,787.568 us,7,128.8411,424.4 kB
CharBuffer64,Clr,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,6.483 us,0.0563 us,0.0526 us,6.428 us,6.587 us,6.469 us,3,1.0681,3.59 kB
StringBuilder8000,Core,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,686.731 us,2.5280 us,2.2410 us,681.800 us,690.091 us,687.160 us,4,109.7656,368.86 kB
StringBuilder64,Core,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,5.989 us,0.0485 us,0.0430 us,5.921 us,6.066 us,5.989 us,1,0.9842,3.32 kB
CharBuffer8000,Core,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,748.585 us,9.1814 us,8.1391 us,737.032 us,766.557 us,749.684 us,6,128.5807,423.56 kB
CharBuffer64,Core,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,6.117 us,0.1120 us,0.1048 us,5.931 us,6.372 us,6.107 us,2,1.1004,3.58 kB
