Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,RemoveOutliers,Affinity,Jit,Platform,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,RetainVm,Server,Clock,EngineFactory,Toolchain,InvocationCount,IterationTime,LaunchCount,RunStrategy,TargetCount,UnrollFactor,WarmupCount,Mean,Error,StdDev,Min,Max,Median,Rank,Allocated
CheckWithBool,Clr,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,4.597 ns,0.0662 ns,0.0620 ns,4.532 ns,4.714 ns,4.574 ns,1,0 B
CheckWithLength,Clr,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,5.178 ns,0.0496 ns,0.0464 ns,5.092 ns,5.250 ns,5.165 ns,3,0 B
CheckWithBool,Core,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,4.540 ns,0.0938 ns,0.0877 ns,4.410 ns,4.672 ns,4.547 ns,1,0 B
CheckWithLength,Core,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,4.853 ns,0.0832 ns,0.0778 ns,4.761 ns,4.972 ns,4.827 ns,2,0 B
