Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,RemoveOutliers,Affinity,Jit,Platform,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,RetainVm,Server,Clock,EngineFactory,Toolchain,InvocationCount,IterationTime,LaunchCount,RunStrategy,TargetCount,UnrollFactor,WarmupCount,Mean,Error,StdDev,Min,Max,Median,Rank,Gen 0,Allocated
B8000SerializeBytesToJsonArray,Clr,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,709.285 us,7.7037 us,6.8291 us,700.721 us,727.546 us,708.230 us,3,110.2865,369.58 kB
B0064SerializeBytesToJsonArray,Clr,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,6.270 us,0.1167 us,0.1637 us,5.987 us,6.593 us,6.284 us,2,0.9939,3.34 kB
B8000SerializeBytesToJsonArray2,Clr,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,725.306 us,4.6631 us,3.8939 us,721.126 us,735.917 us,724.699 us,4,110.2865,369.69 kB
B0064SerializeBytesToJsonArray2,Clr,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,6.228 us,0.1268 us,0.1778 us,6.055 us,6.688 us,6.157 us,2,0.9842,3.33 kB
B8000SerializeBytesToJsonArray,Core,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,705.624 us,5.5324 us,4.6198 us,697.881 us,711.692 us,705.501 us,3,110.0260,368.86 kB
B0064SerializeBytesToJsonArray,Core,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,6.246 us,0.1231 us,0.1685 us,6.027 us,6.603 us,6.226 us,2,0.9923,3.3 kB
B8000SerializeBytesToJsonArray2,Core,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,713.077 us,11.6304 us,10.8791 us,701.225 us,735.819 us,709.307 us,3,110.0260,368.83 kB
B0064SerializeBytesToJsonArray2,Core,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,6.057 us,0.1202 us,0.1336 us,5.788 us,6.207 us,6.092 us,1,0.9959,3.33 kB
