Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,RemoveOutliers,Affinity,Jit,Platform,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,RetainVm,Server,Clock,EngineFactory,Toolchain,InvocationCount,IterationTime,LaunchCount,RunStrategy,TargetCount,UnrollFactor,WarmupCount,Mean,Error,StdDev,Min,Max,Median,Rank,Gen 0,Allocated
FilterLinq,Default,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,CoreCsProj,1,Default,Default,Default,Default,16,Default,123.3 us,1.4565 us,1.3624 us,121.2 us,125.9 us,123.0 us,1,20.7520,64.4 KB
FilterPLinq,Default,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,CoreCsProj,1,Default,Default,Default,Default,16,Default,435.2 us,6.3337 us,5.9246 us,428.8 us,448.8 us,433.8 us,4,44.9219,90.25 KB
FilterLinq,Default,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,CsProjnet47,1,Default,Default,Default,Default,16,Default,142.1 us,0.9836 us,0.8719 us,140.9 us,143.5 us,142.3 us,2,20.7520,64.47 KB
FilterPLinq,Default,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,CsProjnet47,1,Default,Default,Default,Default,16,Default,398.1 us,5.6262 us,4.9875 us,391.7 us,408.3 us,396.8 us,3,45.2091,139.97 KB
