Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,RemoveOutliers,Affinity,Jit,Platform,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,RetainVm,Server,Clock,EngineFactory,Toolchain,InvocationCount,IterationTime,LaunchCount,RunStrategy,TargetCount,UnrollFactor,WarmupCount,Mean,Error,StdDev,Min,Max,Median,Rank,Gen 0,Allocated
CheckObject,Clr,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,79.8397 ns,0.6019 ns,0.5630 ns,79.0786 ns,80.9902 ns,79.6320 ns,4,0.0060,24 B
CheckNullable,Clr,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,0.0125 ns,0.0043 ns,0.0040 ns,0.0060 ns,0.0202 ns,0.0122 ns,1,-,0 B
CheckGeneric,Clr,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,81.0836 ns,0.3934 ns,0.3680 ns,80.5962 ns,81.9129 ns,81.1074 ns,5,0.0060,24 B
CheckNullableEq,Clr,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,0.0349 ns,0.0217 ns,0.0203 ns,0.0125 ns,0.0855 ns,0.0253 ns,2,-,0 B
CheckObject,Core,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,82.0344 ns,0.4862 ns,0.4548 ns,81.2557 ns,82.9128 ns,82.0024 ns,6,0.0059,24 B
CheckNullable,Core,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,2.0631 ns,0.0143 ns,0.0134 ns,2.0449 ns,2.0890 ns,2.0598 ns,3,-,0 B
CheckGeneric,Core,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,82.5551 ns,0.3273 ns,0.2901 ns,81.9570 ns,82.9888 ns,82.4965 ns,7,0.0060,24 B
CheckNullableEq,Core,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,2.0611 ns,0.0151 ns,0.0134 ns,2.0403 ns,2.0879 ns,2.0609 ns,3,-,0 B
