Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,RemoveOutliers,Affinity,Jit,Platform,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,RetainVm,Server,Clock,EngineFactory,Toolchain,InvocationCount,IterationTime,LaunchCount,RunStrategy,TargetCount,UnrollFactor,WarmupCount,Mean,Error,StdDev,Median,Min,Max,Rank,Gen 0,Allocated
DelegateBuilded,Clr,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,59.26 ns,0.2291 ns,0.1789 ns,59.25 ns,59.00 ns,59.69 ns,3,0.1500,472 B
Expression,Clr,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,59.72 ns,1.1989 ns,1.2828 ns,59.50 ns,57.55 ns,62.72 ns,3,0.1500,472 B
DelegateBuilded,Core,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,52.56 ns,1.0877 ns,1.5943 ns,52.36 ns,50.30 ns,55.72 ns,1,0.1500,472 B
Expression,Core,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,55.40 ns,1.4686 ns,4.2373 ns,53.98 ns,50.78 ns,66.79 ns,2,0.1500,472 B
